repositoryName
semanticvectors/semanticvectors
magese/ik-analyzer-solr
imixs/imixs-workflow
Novetta/CLAVIN
dermotte/LIRE
CogComp/talen
lintool/twitter-tools
ahmetaa/zemberek-nlp
senseidb/zoie
dice-group/AGDISTIS
weiboad/fiery
intuit/fuzzy-matcher
dice-group/Palmetto
ysc/word
Stratio/cassandra-lucene-index
boyter/searchcode-server
oaqa/FlexNeuART
