repositoryName
kobylynskyi/graphql-java-codegen
groovy/GMavenPlus
liquibase/liquigraph
Cosium/git-code-format-maven-plugin
lukaszlenart/launch4j-maven-plugin
ferstl/depgraph-maven-plugin
maven-download-plugin/maven-download-plugin
git-commit-id/git-commit-id-maven-plugin
eirslett/frontend-maven-plugin
Alfresco/alfresco-sdk
randomizedtesting/randomizedtesting
coveooss/fmt-maven-plugin
offbynull/coroutines
qoomon/maven-git-versioning-extension
asciidoctor/asciidoctor-maven-plugin
torquebox/jruby-maven-plugins
bytedeco/javacpp
antlr/antlr4
talios/clojure-maven-plugin
amaembo/huntbugs
spotify/docker-maven-plugin
davidB/scala-maven-plugin
mathieucarbou/license-maven-plugin
Devskiller/jpa2ddl
tbroyer/gwt-maven-plugin
confluence-publisher/confluence-publisher
spotify/dockerfile-maven
trautonen/coveralls-maven-plugin
sdbg/sdbg
eclipse/microprofile
victools/jsonschema-generator
Cornutum/tcases
cqfn/eo
electronicarts/ea-async
bytemanproject/byteman
aleksandr-m/gitflow-maven-plugin
airlift/drift
jimbethancourt/RefactorFirst
kilim/kilim
openjfx/javafx-maven-plugin
fizzed/rocker
gitflow-incremental-builder/gitflow-incremental-builder
takari/takari-maven-plugin
