repositoryName
chanjarster/weixin-java-tools
FasterXML/jackson-jaxrs-providers
apache/incubator-retired-htrace
neo4j-contrib/neo4j-mazerunner
kevinsawicki/http-request
owlike/genson
Codecademy/EventHub
alibaba/jvm-sandbox
4thline/cling
socketio/engine.io-server-java
uwolfer/gerrit-rest-java-client
trishullab/bayou
webmetrics/browsermob-proxy
gitflow-incremental-builder/gitflow-incremental-builder
rhuss/jolokia
