repositoryName
sunlet/jplugin
vmware/vsphere-automation-sdk-java
eBay/parallec
forcedotcom/wsc
reinert/JJSchema
hantsy/angularjs-springmvc-sample-boot
sinnerschrader/aem-react
snowdrop/istio-java-api
iamazy/elasticsearch-sql
jenkinsci/java-client-api
swagger-api/swagger-parser
bkiers/Liqp
rickfast/consul-client
Wikidata/Wikidata-Toolkit
horrorho/InflatableDonkey
FlowCI/flow-core-x
opendatalab-de/geojson-jackson
dma-ais/AisLib
decentralized-identity/universal-resolver
cloudera/cm_api
damnhandy/Handy-URI-Templates
kklisura/chrome-devtools-java-client
meraki-analytics/orianna
Kepler-Framework/Kepler-All
ICIJ/extract
NaveenRudra/RTTM
jlinn/quartz-redis-jobstore
jenkinsci/kubernetes-cd-plugin
USPTO/PatentPublicData
graphaware/neo4j-nlp
arloor/HttpProxy
springdoc/springdoc-openapi-demos
helun/Ektorp
dadoonet/legacy-search
trautonen/coveralls-maven-plugin
numenta/htm.java
victools/jsonschema-generator
jsonld-java/jsonld-java
Tinkoff/invest-openapi-java-sdk
streamnative/kop
zinggAI/zingg
apache/camel-spring-boot-examples
hsiafan/requests
sendgrid/sendgrid-java
apollographql/federation-jvm
dschulten/hydra-java
twilio/twilio-java
