repositoryName
yahoo/sherlock
kobylynskyi/graphql-java-codegen
groovy/GMavenPlus
liquibase/liquigraph
Cosium/git-code-format-maven-plugin
lukaszlenart/launch4j-maven-plugin
ferstl/depgraph-maven-plugin
casid/jte
maven-download-plugin/maven-download-plugin
git-commit-id/git-commit-id-maven-plugin
eirslett/frontend-maven-plugin
Alfresco/alfresco-sdk
randomizedtesting/randomizedtesting
coveooss/fmt-maven-plugin
offbynull/coroutines
qoomon/maven-git-versioning-extension
asciidoctor/asciidoctor-maven-plugin
torquebox/jruby-maven-plugins
tunnelvisionlabs/antlr4cs
bytedeco/javacpp
antlr/antlr4
talios/clojure-maven-plugin
amaembo/huntbugs
davidB/scala-maven-plugin
Ekryd/sortpom
mathieucarbou/license-maven-plugin
Devskiller/jpa2ddl
tbroyer/gwt-maven-plugin
TNG/JGiven
confluence-publisher/confluence-publisher
spotify/dockerfile-maven
trautonen/coveralls-maven-plugin
sdbg/sdbg
fusesource/hawtjni
eclipse/microprofile
samaxes/minify-maven-plugin
ulisesbocchio/jasypt-spring-boot
victools/jsonschema-generator
Cornutum/tcases
cqfn/eo
electronicarts/ea-async
alexnederlof/Jasper-report-maven-plugin
bytemanproject/byteman
gaul/modernizer-maven-plugin
airlift/drift
gmu-swe/phosphor
luontola/retrolambda
openjfx/javafx-maven-plugin
trivago/cucable-plugin
fizzed/rocker
trivago/cluecumber-report-plugin
takari/takari-maven-plugin
