repositoryName,Github Link
OneBusAway/onebusaway-gtfs-realtime-exporter,https://github.com/OneBusAway/onebusaway-gtfs-realtime-exporter
sjcdigital/temis-api,https://github.com/sjcdigital/temis-api
cdapio/cdap-hbase-increments,https://github.com/cdapio/cdap-hbase-increments
USCDataScience/hadoop-pot,https://github.com/USCDataScience/hadoop-pot
scaled-ml/Scaled-ML,https://github.com/scaled-ml/Scaled-ML
