dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
com.googlecode.json-simple:json-simple,org.apache.maven:maven-plugin-api,13,119,193,0.11,0.07,0.11
commons-codec:commons-codec,commons-collections:commons-collections,118,444,214,0.27,0.55,0.55
org.junit.jupiter:junit-jupiter-engine,org.springframework:spring-core,32,246,249,0.13,0.13,0.13
mysql:mysql-connector-java,org.ow2.asm:asm,29,406,132,0.07,0.22,0.22
com.alibaba:druid,org.powermock:powermock-module-junit4,11,109,156,0.1,0.07,0.1
io.springfox:springfox-swagger2,org.junit.jupiter:junit-jupiter-params,5,108,114,0.05,0.04,0.05
org.apache.maven:maven-core,org.junit.jupiter:junit-jupiter-engine,22,136,246,0.16,0.09,0.16
org.bouncycastle:bcprov-jdk15on,org.springframework.boot:spring-boot-starter-web,15,141,108,0.11,0.14,0.14
javax.xml.bind:jaxb-api,org.bouncycastle:bcprov-jdk15on,30,217,141,0.14,0.21,0.21
org.apache.poi:poi-ooxml,org.mockito:mockito-core,28,106,678,0.26,0.04,0.26
log4j:log4j,org.scala-lang:scala-library,54,361,131,0.15,0.41,0.41
log4j:log4j,org.openjdk.jmh:jmh-generator-annprocess,31,361,138,0.09,0.22,0.22
org.apache.logging.log4j:log4j-api,org.openjdk.jmh:jmh-core,27,228,147,0.12,0.18,0.18
commons-io:commons-io,org.apache.httpcomponents:httpcore,141,785,203,0.18,0.69,0.69
com.zaxxer:HikariCP,org.springframework:spring-beans,19,106,184,0.18,0.1,0.18
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.hibernate:hibernate-core,13,102,139,0.13,0.09,0.13
com.alibaba:fastjson,io.netty:netty-all,53,253,167,0.21,0.32,0.32
commons-collections:commons-collections,io.dropwizard.metrics:metrics-core,27,214,113,0.13,0.24,0.24
org.codehaus.jackson:jackson-mapper-asl,org.slf4j:jcl-over-slf4j,20,111,220,0.18,0.09,0.18
org.codehaus.jackson:jackson-mapper-asl,org.json:json,24,111,182,0.22,0.13,0.22
javax.mail:mail,org.javassist:javassist,15,119,157,0.13,0.1,0.13
org.springframework:spring-tx,org.springframework:spring-webmvc,72,117,190,0.62,0.38,0.62
org.aspectj:aspectjweaver,org.hamcrest:hamcrest,8,128,114,0.06,0.07,0.07
org.hibernate:hibernate-core,org.junit.jupiter:junit-jupiter-api,15,139,203,0.11,0.07,0.11
org.apache.zookeeper:zookeeper,org.postgresql:postgresql,27,152,177,0.18,0.15,0.18
org.apache.zookeeper:zookeeper,org.springframework:spring-jdbc,27,152,152,0.18,0.18,0.18
org.awaitility:awaitility,org.openjdk.jmh:jmh-core,14,114,147,0.12,0.1,0.12
ch.qos.logback:logback-core,org.apache.curator:curator-recipes,20,165,105,0.12,0.19,0.19
ch.qos.logback:logback-core,com.alibaba:druid,20,165,109,0.12,0.18,0.18
javax.servlet:javax.servlet-api,org.hamcrest:hamcrest-core,44,368,159,0.12,0.28,0.28
org.apache.maven.plugin-tools:maven-plugin-annotations,org.mockito:mockito-core,64,160,678,0.4,0.09,0.4
org.apache.maven.plugin-tools:maven-plugin-annotations,org.postgresql:postgresql,17,160,177,0.11,0.1,0.11
javax.validation:validation-api,org.apache.commons:commons-math3,12,138,140,0.09,0.09,0.09
org.apache.ant:ant,org.hibernate:hibernate-core,14,105,139,0.13,0.1,0.13
org.scala-lang:scala-library,org.springframework:spring-web,21,131,207,0.16,0.1,0.16
com.google.inject:guice,org.javassist:javassist,23,141,157,0.16,0.15,0.16
org.mockito:mockito-all,org.slf4j:slf4j-log4j12,78,278,386,0.28,0.2,0.28
joda-time:joda-time,org.apache.commons:commons-collections4,46,274,154,0.17,0.3,0.3
joda-time:joda-time,org.apache.commons:commons-text,27,274,136,0.1,0.2,0.2
com.googlecode.json-simple:json-simple,org.mockito:mockito-core,45,119,678,0.38,0.07,0.38
junit:junit,org.slf4j:jcl-over-slf4j,183,1690,220,0.11,0.83,0.83
junit:junit,org.springframework:spring-beans,159,1690,184,0.09,0.86,0.86
junit:junit,org.junit.jupiter:junit-jupiter,36,1690,110,0.02,0.33,0.33
org.junit.jupiter:junit-jupiter-engine,org.yaml:snakeyaml,26,246,196,0.11,0.13,0.13
org.apache.curator:curator-recipes,org.powermock:powermock-module-junit4,22,105,156,0.21,0.14,0.21
com.google.code.gson:gson,org.apache.commons:commons-collections4,56,473,154,0.12,0.36,0.36
org.quartz-scheduler:quartz,org.scala-lang:scala-library,14,101,131,0.14,0.11,0.14
org.easymock:easymock,org.testng:testng,29,136,209,0.21,0.14,0.21
net.java.dev.jna:jna,org.springframework.boot:spring-boot-starter-web,7,123,108,0.06,0.06,0.06
com.alibaba:druid,org.hibernate:hibernate-validator,12,109,107,0.11,0.11,0.11
org.apache.maven:maven-plugin-api,org.testng:testng,28,193,209,0.15,0.13,0.15
org.apache.maven:maven-core,org.bouncycastle:bcpkix-jdk15on,16,136,115,0.12,0.14,0.14
org.eclipse.jetty:jetty-server,org.hibernate:hibernate-validator,22,197,107,0.11,0.21,0.21
org.hsqldb:hsqldb,org.testng:testng,10,134,209,0.07,0.05,0.07
javax.servlet:servlet-api,org.springframework:spring-core,57,196,249,0.29,0.23,0.29
org.freemarker:freemarker,org.springframework:spring-beans,17,106,184,0.16,0.09,0.16
commons-io:commons-io,org.jsoup:jsoup,97,785,180,0.12,0.54,0.54
io.netty:netty-all,org.springframework:spring-context,53,167,311,0.32,0.17,0.32
commons-cli:commons-cli,io.dropwizard.metrics:metrics-core,45,283,113,0.16,0.4,0.4
com.alibaba:fastjson,commons-logging:commons-logging,34,253,287,0.13,0.12,0.13
com.alibaba:fastjson,org.apache.maven.plugin-tools:maven-plugin-annotations,9,253,160,0.04,0.06,0.06
org.hibernate:hibernate-validator,org.slf4j:slf4j-api,69,107,1022,0.64,0.07,0.64
javax.annotation:javax.annotation-api,org.springframework:spring-webmvc,35,185,190,0.19,0.18,0.19
org.codehaus.jackson:jackson-mapper-asl,org.springframework:spring-beans,21,111,184,0.19,0.11,0.19
commons-logging:commons-logging,org.apache.httpcomponents:httpclient,141,287,502,0.49,0.28,0.49
org.apache.commons:commons-lang3,org.slf4j:slf4j-log4j12,163,742,386,0.22,0.42,0.42
com.google.code.findbugs:jsr305,io.netty:netty-all,30,230,167,0.13,0.18,0.18
com.google.code.findbugs:jsr305,org.hamcrest:hamcrest,25,230,114,0.11,0.22,0.22
com.google.code.findbugs:jsr305,org.apache.maven:maven-core,30,230,136,0.13,0.22,0.22
ch.qos.logback:logback-classic,com.sun.xml.bind:jaxb-impl,32,523,113,0.06,0.28,0.28
org.hamcrest:hamcrest-all,org.javassist:javassist,18,177,157,0.1,0.11,0.11
org.apache.httpcomponents:httpmime,org.glassfish.jaxb:jaxb-runtime,13,103,108,0.13,0.12,0.13
com.fasterxml.jackson.core:jackson-databind,org.eclipse.jetty:jetty-server,106,616,197,0.17,0.54,0.54
com.squareup.okhttp3:okhttp,org.apache.logging.log4j:log4j-core,44,176,276,0.25,0.16,0.25
ch.qos.logback:logback-core,commons-cli:commons-cli,32,165,283,0.19,0.11,0.19
ch.qos.logback:logback-core,org.testng:testng,27,165,209,0.16,0.13,0.16
com.google.guava:guava,commons-configuration:commons-configuration,75,884,114,0.08,0.66,0.66
javax.servlet:javax.servlet-api,org.apache.poi:poi-ooxml,39,368,106,0.11,0.37,0.37
javax.servlet:javax.servlet-api,org.junit.jupiter:junit-jupiter-api,33,368,203,0.09,0.16,0.16
javax.validation:validation-api,org.mybatis.spring.boot:mybatis-spring-boot-starter,9,138,118,0.07,0.08,0.08
org.codehaus.plexus:plexus-utils,org.javassist:javassist,17,106,157,0.16,0.11,0.16
javax.inject:javax.inject,org.openjdk.jmh:jmh-core,13,126,147,0.1,0.09,0.1
com.sun.xml.bind:jaxb-impl,commons-lang:commons-lang,31,113,338,0.27,0.09,0.27
com.googlecode.json-simple:json-simple,org.quartz-scheduler:quartz,11,119,101,0.09,0.11,0.11
com.googlecode.json-simple:json-simple,org.yaml:snakeyaml,25,119,196,0.21,0.13,0.21
org.apache.kafka:kafka-clients,org.powermock:powermock-module-junit4,20,117,156,0.17,0.13,0.17
org.glassfish.jaxb:jaxb-runtime,org.springframework:spring-beans,13,108,184,0.12,0.07,0.12
commons-codec:commons-codec,io.dropwizard.metrics:metrics-core,59,444,113,0.13,0.52,0.52
commons-lang:commons-lang,net.java.dev.jna:jna,31,338,123,0.09,0.25,0.25
org.apache.curator:curator-recipes,org.apache.poi:poi,9,105,103,0.09,0.09,0.09
com.google.code.gson:gson,org.mockito:mockito-core,180,473,678,0.38,0.27,0.38
net.java.dev.jna:jna,org.apache.commons:commons-compress,30,123,169,0.24,0.18,0.24
com.alibaba:druid,org.slf4j:jcl-over-slf4j,13,109,220,0.12,0.06,0.12
io.dropwizard.metrics:metrics-core,junit:junit,87,113,1690,0.77,0.05,0.77
io.springfox:springfox-swagger2,junit:junit,41,108,1690,0.38,0.02,0.38
org.openjdk.jmh:jmh-generator-annprocess,org.slf4j:slf4j-simple,25,138,291,0.18,0.09,0.18
org.openjdk.jmh:jmh-generator-annprocess,org.springframework:spring-test,16,138,248,0.12,0.06,0.12
javax.xml.bind:jaxb-api,org.apache.commons:commons-collections4,44,217,154,0.2,0.29,0.29
org.slf4j:jcl-over-slf4j,org.slf4j:slf4j-api,196,220,1022,0.89,0.19,0.89
org.assertj:assertj-core,org.powermock:powermock-module-junit4,40,329,156,0.12,0.26,0.26
commons-fileupload:commons-fileupload,org.apache.zookeeper:zookeeper,19,181,152,0.1,0.13,0.13
javax.servlet:servlet-api,org.apache.commons:commons-text,10,196,136,0.05,0.07,0.07
org.freemarker:freemarker,org.springframework:spring-context-support,14,106,112,0.13,0.13,0.13
com.h2database:h2,org.javassist:javassist,47,262,157,0.18,0.3,0.3
com.h2database:h2,org.eclipse.jetty:jetty-webapp,38,262,121,0.15,0.31,0.31
org.apache.commons:commons-collections4,org.eclipse.jetty:jetty-servlet,24,154,146,0.16,0.16,0.16
org.apache.logging.log4j:log4j-api,org.apache.logging.log4j:log4j-slf4j-impl,125,228,180,0.55,0.69,0.69
org.springframework.boot:spring-boot-starter-web,org.springframework:spring-jdbc,22,108,152,0.2,0.14,0.2
com.alibaba:fastjson,org.apache.zookeeper:zookeeper,50,253,152,0.2,0.33,0.33
org.powermock:powermock-module-junit4,org.springframework:spring-web,22,156,207,0.14,0.11,0.14
org.apache.commons:commons-lang3,org.ow2.asm:asm,70,742,132,0.09,0.53,0.53
org.apache.commons:commons-lang3,org.apache.kafka:kafka-clients,74,742,117,0.1,0.63,0.63
org.apache.zookeeper:zookeeper,org.hsqldb:hsqldb,15,152,134,0.1,0.11,0.11
ch.qos.logback:logback-classic,com.h2database:h2,97,523,262,0.19,0.37,0.37
org.apache.httpcomponents:httpmime,org.mockito:mockito-core,41,103,678,0.4,0.06,0.4
com.squareup.okhttp3:okhttp,javax.servlet:servlet-api,8,176,196,0.05,0.04,0.05
commons-beanutils:commons-beanutils,javax.xml.bind:jaxb-api,54,213,217,0.25,0.25,0.25
com.fasterxml.jackson.core:jackson-core,joda-time:joda-time,96,389,274,0.25,0.35,0.35
com.sun.xml.bind:jaxb-impl,org.slf4j:jcl-over-slf4j,19,113,220,0.17,0.09,0.17
com.sun.xml.bind:jaxb-impl,org.junit.jupiter:junit-jupiter-engine,27,113,246,0.24,0.11,0.24
org.eclipse.jetty:jetty-servlet,org.hamcrest:hamcrest-core,23,146,159,0.16,0.14,0.16
joda-time:joda-time,org.javassist:javassist,42,274,157,0.15,0.27,0.27
commons-codec:commons-codec,javax.servlet:servlet-api,74,444,196,0.17,0.38,0.38
junit:junit,org.springframework:spring-aop,112,1690,133,0.07,0.84,0.84
org.apache.curator:curator-recipes,org.apache.maven.plugin-tools:maven-plugin-annotations,7,105,160,0.07,0.04,0.07
org.junit.jupiter:junit-jupiter,org.yaml:snakeyaml,9,110,196,0.08,0.05,0.08
net.java.dev.jna:jna,org.ow2.asm:asm,20,123,132,0.16,0.15,0.16
io.springfox:springfox-swagger2,org.junit.jupiter:junit-jupiter,5,108,110,0.05,0.05,0.05
commons-fileupload:commons-fileupload,org.powermock:powermock-module-junit4,16,181,156,0.09,0.1,0.1
javax.servlet:servlet-api,log4j:log4j,71,196,361,0.36,0.2,0.36
javax.servlet:servlet-api,org.eclipse.jetty:jetty-webapp,24,196,121,0.12,0.2,0.2
org.apache.commons:commons-collections4,org.springframework:spring-context-support,20,154,112,0.13,0.18,0.18
log4j:log4j,org.openjdk.jmh:jmh-core,31,361,147,0.09,0.21,0.21
org.apache.logging.log4j:log4j-api,org.mockito:mockito-core,106,228,678,0.46,0.16,0.46
javax.annotation:javax.annotation-api,org.apache.logging.log4j:log4j-slf4j-impl,32,185,180,0.17,0.18,0.18
org.aspectj:aspectjweaver,org.hamcrest:hamcrest-all,12,128,177,0.09,0.07,0.09
ch.qos.logback:logback-classic,com.zaxxer:HikariCP,49,523,106,0.09,0.46,0.46
commons-configuration:commons-configuration,javax.servlet:javax.servlet-api,43,114,368,0.38,0.12,0.38
javax.ws.rs:javax.ws.rs-api,org.scala-lang:scala-library,17,113,131,0.15,0.13,0.15
org.apache.httpcomponents:httpmime,org.easymock:easymock,15,103,136,0.15,0.11,0.15
commons-httpclient:commons-httpclient,javax.xml.bind:jaxb-api,17,105,217,0.16,0.08,0.16
com.squareup.okhttp3:okhttp,org.apache.httpcomponents:httpclient,75,176,502,0.43,0.15,0.43
com.fasterxml.jackson.core:jackson-annotations,org.apache.maven:maven-core,29,319,136,0.09,0.21,0.21
javax.servlet:javax.servlet-api,org.hamcrest:hamcrest-library,46,368,171,0.13,0.27,0.27
org.codehaus.plexus:plexus-utils,org.springframework:spring-tx,5,106,117,0.05,0.04,0.05
javax.inject:javax.inject,org.junit.jupiter:junit-jupiter-params,9,126,114,0.07,0.08,0.08
org.apache.ant:ant,org.junit.jupiter:junit-jupiter-params,8,105,114,0.08,0.07,0.08
com.fasterxml.jackson.core:jackson-core,commons-httpclient:commons-httpclient,41,389,105,0.11,0.39,0.39
org.junit.jupiter:junit-jupiter-api,org.slf4j:jcl-over-slf4j,19,203,220,0.09,0.09,0.09
org.junit.jupiter:junit-jupiter-api,org.springframework:spring-test,26,203,248,0.13,0.1,0.13
org.apache.poi:poi,org.eclipse.jetty:jetty-webapp,10,103,121,0.1,0.08,0.1
com.googlecode.json-simple:json-simple,org.apache.hadoop:hadoop-common,21,119,107,0.18,0.2,0.2
org.apache.kafka:kafka-clients,org.quartz-scheduler:quartz,15,117,101,0.13,0.15,0.15
org.apache.kafka:kafka-clients,org.hamcrest:hamcrest,14,117,114,0.12,0.12,0.12
junit:junit,org.junit.jupiter:junit-jupiter-api,79,1690,203,0.05,0.39,0.39
commons-lang:commons-lang,org.aspectj:aspectjweaver,45,338,128,0.13,0.35,0.35
com.google.code.gson:gson,org.eclipse.jetty:jetty-webapp,55,473,121,0.12,0.45,0.45
org.apache.httpcomponents:httpcore,org.springframework:spring-tx,26,203,117,0.13,0.22,0.22
org.bouncycastle:bcprov-jdk15on,org.ow2.asm:asm,19,141,132,0.13,0.14,0.14
org.slf4j:jcl-over-slf4j,org.springframework:spring-context,81,220,311,0.37,0.26,0.37
javax.servlet:servlet-api,org.slf4j:slf4j-log4j12,75,196,386,0.38,0.19,0.38
org.freemarker:freemarker,org.javassist:javassist,13,106,157,0.12,0.08,0.12
org.apache.logging.log4j:log4j-api,org.reflections:reflections,30,228,130,0.13,0.23,0.23
org.apache.logging.log4j:log4j-api,org.bouncycastle:bcprov-jdk15on,32,228,141,0.14,0.23,0.23
org.apache.commons:commons-compress,org.eclipse.jetty:jetty-webapp,41,169,121,0.24,0.34,0.34
commons-io:commons-io,net.java.dev.jna:jna,66,785,123,0.08,0.54,0.54
com.zaxxer:HikariCP,org.slf4j:slf4j-api,79,106,1022,0.75,0.08,0.75
com.zaxxer:HikariCP,org.hamcrest:hamcrest,11,106,114,0.1,0.1,0.1
commons-cli:commons-cli,org.slf4j:jul-to-slf4j,30,283,111,0.11,0.27,0.27
org.hibernate:hibernate-validator,org.slf4j:slf4j-log4j12,37,107,386,0.35,0.1,0.35
commons-collections:commons-collections,org.springframework:spring-tx,46,214,117,0.21,0.39,0.39
org.apache.commons:commons-math3,org.hamcrest:hamcrest-library,18,140,171,0.13,0.11,0.13
org.apache.commons:commons-math3,org.apache.maven.plugin-tools:maven-plugin-annotations,16,140,160,0.11,0.1,0.11
commons-logging:commons-logging,org.springframework:spring-jdbc,41,287,152,0.14,0.27,0.27
com.google.code.findbugs:jsr305,org.junit.jupiter:junit-jupiter-engine,38,230,246,0.17,0.15,0.17
commons-httpclient:commons-httpclient,org.openjdk.jmh:jmh-core,7,105,147,0.07,0.05,0.07
ch.qos.logback:logback-core,commons-httpclient:commons-httpclient,15,165,105,0.09,0.14,0.14
com.google.guava:guava,org.projectlombok:lombok,164,884,338,0.19,0.49,0.49
com.google.guava:guava,commons-httpclient:commons-httpclient,64,884,105,0.07,0.61,0.61
com.fasterxml.jackson.core:jackson-core,commons-fileupload:commons-fileupload,56,389,181,0.14,0.31,0.31
com.google.protobuf:protobuf-java,javax.inject:javax.inject,18,191,126,0.09,0.14,0.14
org.apache.logging.log4j:log4j-slf4j-impl,org.slf4j:jcl-over-slf4j,31,180,220,0.17,0.14,0.17
com.google.inject:guice,org.apache.zookeeper:zookeeper,16,141,152,0.11,0.11,0.11
org.bouncycastle:bcpkix-jdk15on,org.javassist:javassist,15,115,157,0.13,0.1,0.13
org.mockito:mockito-all,org.openjdk.jmh:jmh-core,16,278,147,0.06,0.11,0.11
joda-time:joda-time,org.springframework:spring-web,52,274,207,0.19,0.25,0.25
junit:junit,org.aspectj:aspectjweaver,105,1690,128,0.06,0.82,0.82
mysql:mysql-connector-java,org.mockito:mockito-core,121,406,678,0.3,0.18,0.3
com.alibaba:druid,org.eclipse.jetty:jetty-servlet,8,109,146,0.07,0.05,0.07
org.assertj:assertj-core,org.mockito:mockito-core,186,329,678,0.57,0.27,0.57
commons-fileupload:commons-fileupload,org.codehaus.jackson:jackson-mapper-asl,32,181,111,0.18,0.29,0.29
com.zaxxer:HikariCP,commons-cli:commons-cli,18,106,283,0.17,0.06,0.17
org.hamcrest:hamcrest-library,org.junit.jupiter:junit-jupiter-api,29,171,203,0.17,0.14,0.17
org.hibernate:hibernate-validator,org.openjdk.jmh:jmh-core,6,107,147,0.06,0.04,0.06
javax.annotation:javax.annotation-api,org.slf4j:slf4j-simple,43,185,291,0.23,0.15,0.23
org.powermock:powermock-module-junit4,org.slf4j:jcl-over-slf4j,25,156,220,0.16,0.11,0.16
org.aspectj:aspectjweaver,org.mockito:mockito-all,24,128,278,0.19,0.09,0.19
org.hibernate:hibernate-core,org.springframework:spring-tx,44,139,117,0.32,0.38,0.38
org.apache.zookeeper:zookeeper,org.quartz-scheduler:quartz,24,152,101,0.16,0.24,0.24
org.jsoup:jsoup,org.springframework:spring-jdbc,19,180,152,0.11,0.13,0.13
org.apache.httpcomponents:httpmime,org.apache.logging.log4j:log4j-slf4j-impl,11,103,180,0.11,0.06,0.11
com.squareup.okhttp3:okhttp,org.freemarker:freemarker,10,176,106,0.06,0.09,0.09
ch.qos.logback:logback-core,org.slf4j:slf4j-log4j12,27,165,386,0.16,0.07,0.16
ch.qos.logback:logback-core,commons-beanutils:commons-beanutils,30,165,213,0.18,0.14,0.18
com.google.guava:guava,org.scala-lang:scala-library,78,884,131,0.09,0.6,0.6
com.google.guava:guava,org.reflections:reflections,93,884,130,0.11,0.72,0.72
javax.servlet:javax.servlet-api,javax.validation:validation-api,63,368,138,0.17,0.46,0.46
com.google.protobuf:protobuf-java,org.hsqldb:hsqldb,13,191,134,0.07,0.1,0.1
com.google.protobuf:protobuf-java,commons-cli:commons-cli,56,191,283,0.29,0.2,0.29
org.apache.poi:poi,org.json:json,17,103,182,0.17,0.09,0.17
org.apache.poi:poi,org.bouncycastle:bcpkix-jdk15on,6,103,115,0.06,0.05,0.06
org.mockito:mockito-all,org.scala-lang:scala-library,30,278,131,0.11,0.23,0.23
junit:junit,org.hsqldb:hsqldb,107,1690,134,0.06,0.8,0.8
org.apache.curator:curator-recipes,org.awaitility:awaitility,11,105,114,0.1,0.1,0.1
org.quartz-scheduler:quartz,org.springframework:spring-test,38,101,248,0.38,0.15,0.38
org.junit.jupiter:junit-jupiter,org.testng:testng,15,110,209,0.14,0.07,0.14
org.easymock:easymock,org.junit.jupiter:junit-jupiter-api,17,136,203,0.13,0.08,0.13
com.alibaba:druid,org.mockito:mockito-core,17,109,678,0.16,0.03,0.16
io.springfox:springfox-swagger2,org.apache.commons:commons-compress,9,108,169,0.08,0.05,0.08
org.hamcrest:hamcrest,org.powermock:powermock-module-junit4,10,114,156,0.09,0.06,0.09
javax.xml.bind:jaxb-api,org.hibernate:hibernate-validator,24,217,107,0.11,0.22,0.22
javax.xml.bind:jaxb-api,org.apache.zookeeper:zookeeper,31,217,152,0.14,0.2,0.2
org.eclipse.jetty:jetty-server,org.hamcrest:hamcrest-core,30,197,159,0.15,0.19,0.19
javax.servlet:servlet-api,org.quartz-scheduler:quartz,18,196,101,0.09,0.18,0.18
org.apache.poi:poi-ooxml,org.aspectj:aspectjweaver,11,106,128,0.1,0.09,0.1
org.apache.commons:commons-collections4,org.springframework:spring-tx,17,154,117,0.11,0.15,0.15
com.alibaba:fastjson,log4j:log4j,56,253,361,0.22,0.16,0.22
commons-collections:commons-collections,org.postgresql:postgresql,33,214,177,0.15,0.19,0.19
javax.annotation:javax.annotation-api,org.springframework:spring-beans,38,185,184,0.21,0.21,0.21
org.aspectj:aspectjweaver,org.springframework:spring-core,68,128,249,0.53,0.27,0.53
org.aspectj:aspectjweaver,org.springframework:spring-web,58,128,207,0.45,0.28,0.45
org.hibernate:hibernate-core,org.junit.jupiter:junit-jupiter,8,139,110,0.06,0.07,0.07
org.eclipse.jetty:jetty-webapp,org.mockito:mockito-core,65,121,678,0.54,0.1,0.54
org.eclipse.jetty:jetty-webapp,org.hamcrest:hamcrest-core,20,121,159,0.17,0.13,0.17
com.google.code.findbugs:jsr305,org.junit.jupiter:junit-jupiter-params,23,230,114,0.1,0.2,0.2
commons-configuration:commons-configuration,org.apache.httpcomponents:httpcore,38,114,203,0.33,0.19,0.33
javax.ws.rs:javax.ws.rs-api,org.apache.maven:maven-core,15,113,136,0.13,0.11,0.13
commons-httpclient:commons-httpclient,org.jsoup:jsoup,22,105,180,0.21,0.12,0.21
commons-httpclient:commons-httpclient,org.postgresql:postgresql,13,105,177,0.12,0.07,0.12
org.apache.commons:commons-text,org.testng:testng,18,136,209,0.13,0.09,0.13
org.apache.commons:commons-text,org.springframework:spring-aop,14,136,133,0.1,0.11,0.11
org.apache.commons:commons-text,org.mockito:mockito-all,16,136,278,0.12,0.06,0.12
com.fasterxml.jackson.core:jackson-annotations,com.google.protobuf:protobuf-java,55,319,191,0.17,0.29,0.29
com.google.guava:guava,org.json:json,81,884,182,0.09,0.45,0.45
com.fasterxml.jackson.core:jackson-core,javax.servlet:servlet-api,48,389,196,0.12,0.24,0.24
com.fasterxml.jackson.core:jackson-core,org.apache.poi:poi,35,389,103,0.09,0.34,0.34
com.google.protobuf:protobuf-java,org.apache.logging.log4j:log4j-slf4j-impl,30,191,180,0.16,0.17,0.17
joda-time:joda-time,org.powermock:powermock-module-junit4,37,274,156,0.14,0.24,0.24
junit:junit,org.openjdk.jmh:jmh-generator-annprocess,100,1690,138,0.06,0.72,0.72
com.google.code.gson:gson,org.mybatis.spring.boot:mybatis-spring-boot-starter,24,473,118,0.05,0.2,0.2
net.java.dev.jna:jna,org.springframework:spring-webmvc,7,123,190,0.06,0.04,0.06
io.dropwizard.metrics:metrics-core,org.apache.commons:commons-collections4,24,113,154,0.21,0.16,0.21
org.apache.maven:maven-plugin-api,org.hamcrest:hamcrest-all,23,193,177,0.12,0.13,0.13
javax.xml.bind:jaxb-api,org.slf4j:slf4j-log4j12,57,217,386,0.26,0.15,0.26
commons-fileupload:commons-fileupload,org.slf4j:jul-to-slf4j,12,181,111,0.07,0.11,0.11
com.h2database:h2,org.apache.commons:commons-math3,27,262,140,0.1,0.19,0.19
org.apache.logging.log4j:log4j-api,org.slf4j:slf4j-simple,34,228,291,0.15,0.12,0.15
com.alibaba:fastjson,org.yaml:snakeyaml,32,253,196,0.13,0.16,0.16
javax.annotation:javax.annotation-api,org.springframework:spring-test,48,185,248,0.26,0.19,0.26
org.powermock:powermock-module-junit4,org.springframework:spring-beans,16,156,184,0.1,0.09,0.1
javax.mail:mail,org.apache.maven.plugin-tools:maven-plugin-annotations,10,119,160,0.08,0.06,0.08
org.apache.commons:commons-math3,org.apache.curator:curator-recipes,19,140,105,0.14,0.18,0.18
org.hibernate:hibernate-core,org.ow2.asm:asm,13,139,132,0.09,0.1,0.1
com.google.code.findbugs:jsr305,org.bouncycastle:bcprov-jdk15on,34,230,141,0.15,0.24,0.24
commons-httpclient:commons-httpclient,org.eclipse.jetty:jetty-servlet,20,105,146,0.19,0.14,0.19
com.fasterxml.jackson.core:jackson-databind,org.apache.commons:commons-text,58,616,136,0.09,0.43,0.43
org.apache.commons:commons-text,org.aspectj:aspectjweaver,9,136,128,0.07,0.07,0.07
org.apache.commons:commons-text,org.eclipse.jetty:jetty-servlet,25,136,146,0.18,0.17,0.18
com.fasterxml.jackson.core:jackson-annotations,redis.clients:jedis,29,319,131,0.09,0.22,0.22
com.google.guava:guava,org.mybatis.spring.boot:mybatis-spring-boot-starter,56,884,118,0.06,0.47,0.47
com.google.protobuf:protobuf-java,org.mockito:mockito-all,37,191,278,0.19,0.13,0.19
org.apache.logging.log4j:log4j-slf4j-impl,org.slf4j:slf4j-simple,24,180,291,0.13,0.08,0.13
org.apache.poi:poi,org.apache.zookeeper:zookeeper,12,103,152,0.12,0.08,0.12
joda-time:joda-time,org.hamcrest:hamcrest-library,40,274,171,0.15,0.23,0.23
commons-lang:commons-lang,org.apache.httpcomponents:httpclient,145,338,502,0.43,0.29,0.43
commons-lang:commons-lang,org.apache.ant:ant,34,338,105,0.1,0.32,0.32
com.google.code.gson:gson,com.google.inject:guice,58,473,141,0.12,0.41,0.41
org.junit.jupiter:junit-jupiter,org.junit.jupiter:junit-jupiter-params,9,110,114,0.08,0.08,0.08
io.springfox:springfox-swagger2,javax.servlet:servlet-api,7,108,196,0.06,0.04,0.06
org.hamcrest:hamcrest,org.slf4j:slf4j-simple,22,114,291,0.19,0.08,0.19
javax.xml.bind:jaxb-api,org.freemarker:freemarker,19,217,106,0.09,0.18,0.18
org.projectlombok:lombok,org.springframework:spring-context-support,23,338,112,0.07,0.21,0.21
org.slf4j:slf4j-simple,org.springframework:spring-jdbc,23,291,152,0.08,0.15,0.15
commons-fileupload:commons-fileupload,javax.validation:validation-api,39,181,138,0.22,0.28,0.28
log4j:log4j,org.javassist:javassist,57,361,157,0.16,0.36,0.36
log4j:log4j,org.springframework:spring-aop,58,361,133,0.16,0.44,0.44
org.apache.commons:commons-compress,org.apache.logging.log4j:log4j-api,42,169,228,0.25,0.18,0.25
org.apache.commons:commons-compress,org.jsoup:jsoup,29,169,180,0.17,0.16,0.17
io.netty:netty-all,org.codehaus.plexus:plexus-utils,9,167,106,0.05,0.08,0.08
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.hsqldb:hsqldb,8,102,134,0.08,0.06,0.08
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.apache.maven:maven-plugin-api,16,102,193,0.16,0.08,0.16
org.hamcrest:hamcrest-library,org.openjdk.jmh:jmh-generator-annprocess,19,171,138,0.11,0.14,0.14
commons-collections:commons-collections,org.springframework:spring-web,55,214,207,0.26,0.27,0.27
javax.annotation:javax.annotation-api,javax.servlet:servlet-api,26,185,196,0.14,0.13,0.14
