dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
org.apache.httpcomponents:httpcore,org.mockito:mockito-core,105,203,678,0.52,0.15,0.52
com.alibaba:druid,org.apache.maven:maven-core,2,109,136,0.02,0.01,0.02
org.apache.maven:maven-plugin-api,org.hibernate:hibernate-validator,15,193,107,0.08,0.14,0.14
javax.xml.bind:jaxb-api,org.slf4j:jcl-over-slf4j,41,217,220,0.19,0.19,0.19
javax.xml.bind:jaxb-api,org.apache.logging.log4j:log4j-slf4j-impl,35,217,180,0.16,0.19,0.19
org.projectlombok:lombok,org.scala-lang:scala-library,15,338,131,0.04,0.11,0.11
org.apache.commons:commons-collections4,org.apache.curator:curator-recipes,21,154,105,0.14,0.2,0.2
io.netty:netty-all,org.springframework:spring-tx,20,167,117,0.12,0.17,0.17
io.netty:netty-all,org.apache.ant:ant,9,167,105,0.05,0.09,0.09
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.ow2.asm:asm,9,102,132,0.09,0.07,0.09
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.hibernate:hibernate-validator,10,102,107,0.1,0.09,0.1
commons-collections:commons-collections,org.codehaus.jackson:jackson-mapper-asl,29,214,111,0.14,0.26,0.26
org.awaitility:awaitility,org.javassist:javassist,12,114,157,0.11,0.08,0.11
org.awaitility:awaitility,redis.clients:jedis,11,114,131,0.1,0.08,0.1
ch.qos.logback:logback-classic,org.json:json,41,523,182,0.08,0.23,0.23
ch.qos.logback:logback-classic,org.postgresql:postgresql,75,523,177,0.14,0.42,0.42
ch.qos.logback:logback-classic,org.eclipse.jetty:jetty-servlet,51,523,146,0.1,0.35,0.35
commons-configuration:commons-configuration,org.hsqldb:hsqldb,12,114,134,0.11,0.09,0.11
javax.ws.rs:javax.ws.rs-api,org.apache.commons:commons-lang3,65,113,742,0.58,0.09,0.58
javax.ws.rs:javax.ws.rs-api,org.springframework:spring-test,28,113,248,0.25,0.11,0.25
org.mockito:mockito-core,org.slf4j:jcl-over-slf4j,98,678,220,0.14,0.45,0.45
com.fasterxml.jackson.core:jackson-databind,commons-collections:commons-collections,107,616,214,0.17,0.5,0.5
com.fasterxml.jackson.core:jackson-databind,org.quartz-scheduler:quartz,52,616,101,0.08,0.51,0.51
javax.validation:validation-api,org.springframework:spring-web,40,138,207,0.29,0.19,0.29
javax.validation:validation-api,org.easymock:easymock,16,138,136,0.12,0.12,0.12
javax.inject:javax.inject,org.openjdk.jmh:jmh-generator-annprocess,13,126,138,0.1,0.09,0.1
org.hamcrest:hamcrest-core,org.hibernate:hibernate-validator,15,159,107,0.09,0.14,0.14
org.hamcrest:hamcrest-core,org.springframework:spring-test,36,159,248,0.23,0.15,0.23
com.fasterxml.jackson.core:jackson-core,org.powermock:powermock-module-junit4,49,389,156,0.13,0.31,0.31
com.fasterxml.jackson.core:jackson-core,org.apache.commons:commons-lang3,212,389,742,0.54,0.29,0.54
com.sun.xml.bind:jaxb-impl,org.springframework:spring-context-support,18,113,112,0.16,0.16,0.16
com.google.protobuf:protobuf-java,commons-httpclient:commons-httpclient,23,191,105,0.12,0.22,0.22
com.google.inject:guice,org.hamcrest:hamcrest,15,141,114,0.11,0.13,0.13
org.apache.kafka:kafka-clients,org.springframework:spring-web,25,117,207,0.21,0.12,0.21
commons-codec:commons-codec,org.ow2.asm:asm,43,444,132,0.1,0.33,0.33
junit:junit,org.apache.logging.log4j:log4j-api,162,1690,228,0.1,0.71,0.71
org.apache.curator:curator-recipes,org.glassfish.jaxb:jaxb-runtime,9,105,108,0.09,0.08,0.09
org.apache.curator:curator-recipes,org.hamcrest:hamcrest,8,105,114,0.08,0.07,0.08
org.junit.jupiter:junit-jupiter,org.mockito:mockito-all,6,110,278,0.05,0.02,0.05
org.easymock:easymock,org.ow2.asm:asm,14,136,132,0.1,0.11,0.11
net.java.dev.jna:jna,org.apache.poi:poi,9,123,103,0.07,0.09,0.09
org.slf4j:slf4j-api,org.yaml:snakeyaml,113,1022,196,0.11,0.58,0.58
io.springfox:springfox-swagger2,org.testng:testng,4,108,209,0.04,0.02,0.04
org.apache.maven:maven-core,org.codehaus.plexus:plexus-utils,59,136,106,0.43,0.56,0.56
javax.xml.bind:jaxb-api,org.springframework:spring-webmvc,35,217,190,0.16,0.18,0.18
org.eclipse.jetty:jetty-server,org.slf4j:slf4j-simple,44,197,291,0.22,0.15,0.22
org.eclipse.jetty:jetty-server,org.springframework:spring-jdbc,28,197,152,0.14,0.18,0.18
org.hsqldb:hsqldb,org.springframework:spring-context-support,24,134,112,0.18,0.21,0.21
javax.servlet:servlet-api,org.springframework:spring-tx,26,196,117,0.13,0.22,0.22
org.freemarker:freemarker,org.mockito:mockito-all,14,106,278,0.13,0.05,0.13
org.apache.httpcomponents:httpclient,org.slf4j:slf4j-log4j12,150,502,386,0.3,0.39,0.39
org.apache.poi:poi-ooxml,org.powermock:powermock-module-junit4,12,106,156,0.11,0.08,0.11
com.h2database:h2,org.testng:testng,25,262,209,0.1,0.12,0.12
org.apache.commons:commons-compress,org.apache.httpcomponents:httpclient,102,169,502,0.6,0.2,0.6
io.netty:netty-all,org.slf4j:jcl-over-slf4j,30,167,220,0.18,0.14,0.18
org.javassist:javassist,org.springframework:spring-test,28,157,248,0.18,0.11,0.18
com.alibaba:fastjson,com.google.protobuf:protobuf-java,32,253,191,0.13,0.17,0.17
javax.annotation:javax.annotation-api,org.apache.logging.log4j:log4j-core,39,185,276,0.21,0.14,0.21
org.codehaus.jackson:jackson-mapper-asl,org.ow2.asm:asm,10,111,132,0.09,0.08,0.09
