dependency,count
org.hawkular.apm:hawkular-apm-examples-vertx-opentracing-common,1
com.consol.citrus:citrus-endpoint-catalog,1
org.apache.geode:gemfire-core,1
io.camunda:spring-zeebe-starter,1
org.jboss.byteman:byteman-asciidoc,1
org.apache.groovy:groovy-templates,1
io.streamnative.pulsar.handlers:kafka-client-factory,1
com.clickhouse:org.roaringbitmap,1
com.facebook.presto:presto-base-jdbc,1
fish.payara.server.internal.connectors:connectors-runtime-l10n,1
com.jagrosh:DiscordIPC,1
org.neo4j:neo4j-cypher-ast-factory,1
com.devexperts.aprof:selftest,1
com.thinkbiganalytics.kylo.integrations:kylo-nifi-teradata-tdch-core,1
io.seata:seata-grpc,1
io.zipkin.reporter:zipkin-sender-kafka08,1
org.apache.knox:gateway-provider-identity-assertion-concat,1
org.apache.knox:gateway-provider-security-authz-composite,1
org.rcsb:mmtf-codec,1
com.github.almasb:fxgl-io,1
com.github.scribejava:scribejava-httpclient-apache,1
com.hubspot.rosetta:RosettaAnnotations,1
pentaho:pentaho-big-data-api-runtimeTest,1
com.github.greengerong:prerender-java,1
com.oracle:ojdbc7_g,1
gov.nsa.datawave.webservices:datawave-ws-cached-results,1
com.alu.e3:tdr-lib,1
org.dashbuilder:dashbuilder-validations,1
org.openhab.addons.bundles:org.openhab.binding.vdr,1
com.dlink:dlink-client-1.14,1
org.apache.pdfbox:pdfbox,37
org.xwiki.platform:xwiki-platform-query-xwql,1
org.xwiki.platform:xwiki-platform-wiki-script,1
org.jboss.jbossts:jbossjta,2
org.joyqueue:openmessaging-spring-boot-starter,1
com.vaadin:vaadin-upload-flow,1
org.mybatis:mybatis-spring,55
org.apache.camel.quarkus:camel-quarkus-twilio,1
com.vladsch.flexmark:flexmark-ext-media-tags,2
org.jruby:jruby-complete,17
org.apache.camel:camel-cxf,5
org.apache.camel:camel-fhir-parent,1
org.apache.camel:camel-threadpoolfactory-vertx,1
org.hsqldb:hsqldb,134
org.scala-lang:scala-reflect,37
org.apache.giraph:giraph-accumulo,1
org.apache.rya:rya.api.model,1
io.agroal:agroal-pool,4
com.upplication:s3fs,1
de.dfki.mary:voice-dfki-obadiah-hsmm,1
org.benf:cfr,5
com.github.fracpete:jshell-scripting,1
org.apache.tomcat:tomcat-catalina-ha,2
org.scalatestplus:junit-4-12_2.13,1
io.sentry:sentry-logback,2
org.springframework.boot.experimental:spring-boot-starter-data-r2dbc,1
io.stargate.grpc:grpc-proto,1
org.apache.chemistry.opencmis:chemistry-opencmis-client-impl,4
org.solovyev:common-text,1
net.sf.ucanaccess:ucanaccess,4
org.perfrepo:perfrepo-model,1
cn.dev33:sa-token-solon-plugin,1
com.bazaarvoice.jolt:json-utils,3
org.apache.nifi:nifi-aws-processors,1
org.apache.nifi:nifi-mqtt-processors,1
org.restcomm:restcomm-connect.sms,1
com.github.larseckart:tcr-extension,1
org.eclipse.kapua:kapua-qa-common,1
org.snakeyaml:snakeyaml-engine,5
com.github.cbismuth:junit-repeat-rule,2
net.runelite.jogl:jogl-all,1
org.apache.dolphinscheduler:dolphinscheduler-datasource-oracle,1
io.kaitai:kaitai-struct-runtime,2
com.github.ua-parser:uap-java,5
io.papermc:paper,1
com.momo:momo-permission-eureka,1
one.microstream:microstream-configuration,2
org.wso2.carbon.data:org.wso2.carbon.dataservices.core,2
io.github.dddplus:dddplus-unit,1
io.gravitee.node:gravitee-node-cluster,1
